Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13
1,7.5,8.5,9.2,9.9,10.5,11.2,11.8,12.4,13.2,14.4,15,15.8,
2,18.3,19.1,19.9,20.5,21.3,21.8,22.5,25.3,26.1,27.4,,,
3,30.6,31.3,32.2,33.4,34.1,34.8,35.6,36.1,36.7,37.2,38,39.4,
4,40.2,40.9,41.6,43.3,44,46.4,,,,,,,
5,49.6,50.7,51.6,52.6,54.8,,,,,,,,
6,57.5,58.9,59.9,60.6,61.4,,,,,,,,
7,62.8,63.6,64.1,64.7,65.4,66,66.7,67.3,68,,,,
8,69.7,70.6,71.9,72.8,74.6,,,,,,,,
9,76,76.9,77.7,78.4,79,79.9,80.8,81.6,82.1,83.3,84.7,86.4,89
10,100.1,101.4,102.4,103.2,104.1,104.9,105.6,106.4,,,,,
11,109.6,110.7,111.4,112,112.8,113.9,114.5,115.1,115.8,116.6,121.4,,
12,122.1,122.7,123,123.7,124.4,125.1,126,127.3,128,129.4,130.2,,
13,133.2,134.1,135,135.6,136.3,137,138,139,139.6,,,,
14,141.2,142.1,142.9,143.8,144.6,145.6,146.5,147.5,,,,,
15,149.8,153.5,154.3,155.1,155.8,156.8,157.7,,,,,,
16,158.8,159.8,160.6,161.6,,,,,,,,,
17,162.6,163.4,163.9,164.4,165.3,167.3,168.6,170,171,172.5,174.9,,
18,,,,,,,,,,,,,
