Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17
9.4,10.1,10.9,11.5,12.0,12.5,13.0,13.6,14.2,14.8,,,,,,,
16.3,17.1,17.7,18.2,18.9,19.5,20.1,20.7,,,,,,,,,
21.9,23.0,23.6,24.1,24.7,25.3,25.9,26.5,26.9,,,,,,,,
28.3,28.9,29.5,30.1,30.7,31.2,31.8,,,,,,,,,,
33.2,34.1,35.0,35.5,36.0,36.5,37.0,37.6,,,,,,,,,
38.9,39.5,40.4,41.1,41.6,42.2,42.8,43.4,44.0,44.5,,,,,,,
45.8,46.6,47.1,47.6,48.2,48.8,49.4,50.1,50.7,51.4,,,,,,,
53.5,55.9,56.5,57.1,57.7,58.2,58.8,59.4,60.0,60.6,61.1,61.8,62.5,63.3,64.1,65.5,
66.2,66.7,67.3,67.8,68.3,68.8,69.3,70.2,70.8,71.9,72.7,73.7,,,,,
76.1,76.6,77.2,77.8,78.4,79.6,80.3,80.9,81.4,81.9,82.4,83.3,83.9,85.6,,,
88.3,89.1,89.7,90.3,91.0,91.6,92.8,93.3,94.0,94.7,95.3,95.8,96.7,97.3,97.9,99.0,100.1
101.7,103.0,104.3,105.4,106.1,106.8,107.4,108.1,109.2,,,,,,,,
110.0,110.6,111.2,111.7,112.3,112.8,,,,,,,,,,,
114.5,115.1,115.6,116.0,116.8,117.4,118.0,118.8,119.3,120.1,,,,,,,
122.7,123.1,123.7,124.2,125.0,125.7,126.2,126.8,127.3,127.9,128.8,129.4,130.8,131.6,,,
133.9,134.9,135.8,136.6,137.1,137.6,138.6,139.3,139.9,140.5,141.0,141.6,142.3,143.3,,,
147.4,148.3,149.2,149.9,150.6,151.4,152.0,152.9,153.6,154.6,155.4,,,,,,
158.9,159.8,160.4,161.0,161.7,162.8,163.2,163.7,164.6,165.4,,,,,,,
168.0,168.9,169.5,170.3,171.0,171.6,172.3,172.9,173.7,174.3,175.1,175.8,176.6,177.7,179.0,,
