Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26
1,7.4,9.5,10.9,11.5,12.1,12.6,13.5,14.2,14.9,15.7,16.3,16.8,17.4,18.2,18.9,19.5,20.1,20.8,21.4,22,22.6,24.1,,,,
2,30.5,31.4,32.1,33.4,34.3,35.4,36,36.6,37.1,37.7,38.4,39,39.6,,,,,,,,,,,,,
3,41.3,42,42.5,43.1,43.9,44.6,45.2,46.3,46.9,47.6,48.9,,,,,,,,,,,,,,,
4,50.3,51.2,52.3,52.9,53.6,54.5,55.2,55.7,56.2,56.8,57.5,58,58.7,59.2,59.9,60.5,61.1,61.8,62.4,63.4,64,64.8,65.4,66,,
5,73.7,74.6,75.4,76,77,78.5,79.6,80.4,81.4,82.9,84.7,85.8,87.1,88.3,,,,,,,,,,,,
6,91.4,92.4,93.7,94.5,96,96.7,97.3,97.9,98.4,99.3,100.6,101.2,101.8,102.6,103.2,104.2,104.9,105.5,106.1,106.8,108,108.7,109.4,110,110.9,111.5
7,116.6,117.5,119.2,120.6,121.7,122.7,123.3,124,124.6,125.7,126.2,126.9,128.2,,,,,,,,,,,,,
8,134.3,135.4,137,137.9,138.5,139.1,139.6,140.3,140.9,141.6,143,,,,,,,,,,,,,,,
9,144.5,145.1,145.9,146.4,147.1,147.7,148.3,149,150,150.5,151.8,,,,,,,,,,,,,,,
10,154.7,155.6,156.5,157.2,158,158.6,159.3,160,160.5,161.4,162.3,163.5,164.3,,,,,,,,,,,,,
11,166.3,167.6,168.2,169.6,170.4,171.5,172,172.5,173.1,173.6,174.1,174.8,175.8,176.5,177.5,,,,,,,,,,,
